station,name,latitude,longitude,elevation,date,prcp,tmax,tmin,location
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-01,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-02,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-03,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-04,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-05,0.01,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-06,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-07,0.02,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-08,0.06,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-09,0.05,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-10,0.03,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-11,0.03,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-12,0.03,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-13,0.02,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-14,0.06,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-15,0.01,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-16,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-17,0.32,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-18,0.07,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-19,1.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-20,0.27,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-21,0.15,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-22,0.02,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-23,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-24,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-25,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-26,0.87,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-27,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-28,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-29,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-30,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-01-31,0.30,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-01,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-02,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-03,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-04,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-05,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-06,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-07,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-08,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-09,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-10,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-11,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-12,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-13,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-14,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-15,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-16,0.00,,,POINT(21.3103 -157.8458)
USC00518316,"PUNCHBOWL CRATER 709, HI US",21.3103,-157.8458,103.0,2000-02-17,0.00,,,POINT(21.3103 -157.8458)
